line,sex,rep,concentration,exposure,total_flies,survival_proportion
195,F,3,1.5,24,11,0.647058824
217,F,1,1.5,24,19,0.95
217,F,2,1.5,24,19,1
217,F,3,1.5,24,20,1
217,F,4,1.5,24,19,1
228,F,1,1.5,24,4,0.222222222
228,F,2,1.5,24,8,0.444444444
228,F,3,1.5,24,12,0.6
228,F,4,1.5,24,13,0.722222222
367,F,1,1.5,24,10,0.588235294
367,F,2,1.5,24,6,0.3
367,F,3,1.5,24,4,0.2
367,F,4,1.5,24,3,0.176470588
371,F,1,1.5,24,6,0.352941176
371,F,2,1.5,24,10,0.526315789
371,F,3,1.5,24,19,0.95
371,F,4,1.5,24,19,0.95
491,F,1,1.5,24,12,0.631578947
491,F,2,1.5,24,5,0.277777778
491,F,3,1.5,24,8,0.4
491,F,4,1.5,24,17,0.85
508,F,1,1.5,24,2,0.1
508,F,2,1.5,24,2,0.111111111
508,F,3,1.5,24,7,0.35
508,F,4,1.5,24,0,0
508,F,5,1.5,24,6,0.3
799,F,1,1.5,24,13,0.65
799,F,2,1.5,24,14,0.875
799,F,3,1.5,24,18,0.9
799,F,4,1.5,24,9,0.5
808,F,2,1.5,24,5,0.277777778
808,F,4,1.5,24,17,0.85
808,F,1,1.5,24,16,0.888888889
808,F,3,1.5,24,19,0.95
900,F,1,1.5,24,1,0.058823529
900,F,2,1.5,24,17,0.894736842
900,F,3,1.5,24,14,0.777777778
900,F,4,1.5,24,15,0.75
41,M,1,1.5,24,12,0.6
41,M,2,1.5,24,12,0.6
41,M,3,1.5,24,9,0.473684211
41,M,4,1.5,24,7,0.35
59,M,1,1.5,24,0,0
59,M,2,1.5,24,0,0
59,M,3,1.5,24,0,0
59,M,4,1.5,24,0,0
83,M,1,1.5,24,4,0.2
83,M,2,1.5,24,5,0.25
83,M,3,1.5,24,4,0.235294118
83,M,4,1.5,24,9,0.5
129,M,1,1.5,24,16,0.8
129,M,2,1.5,24,7,0.5
129,M,3,1.5,24,13,0.684210526
129,M,4,1.5,24,8,0.470588235
195,M,1,1.5,24,14,0.736842105
195,M,2,1.5,24,11,0.647058824
195,M,3,1.5,24,10,0.526315789
195,M,4,1.5,24,12,0.631578947
217,M,1,1.5,24,11,0.55
217,M,2,1.5,24,8,0.5
217,M,3,1.5,24,3,0.166666667
217,M,4,1.5,24,11,0.611111111
228,M,1,1.5,24,3,0.176470588
228,M,2,1.5,24,4,0.2
228,M,3,1.5,24,7,0.35
228,M,4,1.5,24,9,0.6
367,M,1,1.5,24,1,0.052631579
367,M,2,1.5,24,1,0.055555556
367,M,3,1.5,24,1,0.055555556
367,M,4,1.5,24,1,0.052631579
371,M,1,1.5,24,5,0.294117647
371,M,2,1.5,24,7,0.368421053
371,M,3,1.5,24,9,0.45
371,M,4,1.5,24,7,0.583333333
491,M,1,1.5,24,1,0.055555556
491,M,2,1.5,24,1,0.055555556
491,M,3,1.5,24,0,0
491,M,4,1.5,24,1,0.05
508,M,1,1.5,24,1,0.055555556
